
الزامات کارکرد امنیتی

شماره الزام	نام الزام	تطابق الزام با استاندارد
1	تولید داده ممیزی 1	FAU_GEN.1.1
2	تولید داده ممیزی 2	FAU_GEN.1.2
3	مرتبط نمودن هویت کاربر به رویداد 1	FAU_GEN.2.1
4	بازبینی داده ممیزی 1	FAU_SAR.1.1
5	بازبینی داده ممیزی 2	FAU_SAR.1.2
6	بازبینی داده ممیزی محدود 1	FAU_SAR.2.1
7	بازبینی داده ممیزی قابل انتخاب 1	FAU_SAR.3.1
8	انتخاب داده ممیزی 1	FAU_SEL.1.1
9	ذخیره‌سازی رویدادهای ممیزی 1	FAU_STG.1.1
10	ذخیره‌سازی رویدادهای ممیزی 2	FAU_STG.1.2
11	اقدامات لازم در زمان از دست رفتن داده ممیزی 1	FAU_STG.3.1
12	پیشگیری از اتلاف و از بین رفتن داده¬ ممیزی 1	FAU_STG.4.1
13	عملیات رمزنگاری 1 (1)	FCS_COP.1.1(1)
14	عملیات رمزنگاری 1 (2)	FCS_COP.1.1(2)
15	خط‌مشی کنترل دسترسی 1	FDP_ACC.1.1
16	عملیات کنترل دسترسی 1	FDP_ACF.1.1
17	عملیات کنترل دسترسی 2	FDP_ACF.1.2
18	عملیات کنترل دسترسی 3	FDP_ACF.1.3
19	عملیات کنترل دسترسی 4	FDP_ACF.1.4
20	حفاظت کامل از اطلاعات باقیمانده در منابع 1	FDP_RIP.2.1
21	ورود داده‌ کاربری به محصول با مشخصه امنیتی 1	FDP_ITC.2.1
22	ورود داده کاربری به محصول با مشخصه امنیتی2  	FDP_ITC.2.2
23	ورود داده کاربری به محصول با مشخصه امنیتی 3	FDP_ITC.2.3
24	خروج داده کاربری از محصول با مشخصه امنیتی 1	FDP_ETC.2.1
25	خروج داده کاربری از محصول با مشخصه امنیتی 2	FDP_ETC.2.2
26	خروج داده کاربری از محصول با مشخصه امنیتی 4	FDP_ETC.2.4
27	صحت داده کاربری ذخیره شده 2	FDP_SDI.2.1
28	صحت داده کاربری ذخیره شده 3	FDP_SDI.2.2
29	مدیریت احرازهویت ناموفق 1	FIA_AFL.1.1
30	مدیریت احرازهویت ناموفق 2	FIA_AFL.1.2
31	تعریف مشخصات کاربر 1	FIA_ATD.1.1
32	مدیریت کلمه عبور	FIA_PMG_EXT.1.1
33	احرازهویت کاربر 1	FIA_UAU.1.1
34	احرازهویت کاربر 2	FIA_UAU.1.2
35	سازوکار احرازهویت چندگانه 1	FIA_UAU.5.1
36	سازوکار احرازهویت چندگانه 2	FIA_UAU.5.2
37	انقیاد مشخصه‌های امنیتی کاربر با موجودیت فعال متناظر 1	FIA_USB.1.1
38	انقیاد مشخصه‌های امنیتی کاربر با موجودیت فعال متناظر 2	FIA_USB.1.2
39	انقیاد مشخصه¬های امنیتی کاربر با موجودیت فعال متناظر 3	FIA_USB.1.3
40	مدیریت کارکرد در محصول  1	FMT_MOF.1.1
41	مدیریت مشخصه¬های امنیتی 1	FMT_MSA.1.1
42	مدیریت داده محصول 1 	FMT_MTD.1.1
43	کارکردهای مدیریتی محصول 1 	FMT_SMF.1.1
44	نقش¬های امنیتی 1	FMT_SMR.1.1
45	نقش¬های امنیتی 2	FMT_SMR.1.2
46	حفظ وضعیت امن در زمان شکست 1	FPT_FLS.1.1
47	انتقال داده امنیتی در داخل محصول 1	FPT_ITT.1.1
48	سازگاری داده امنیتی بین محصول و موجودیت امن 1	FPT_TDC.1.1
49	مهرهای زمانی 1	FPT_STM.1.1
50	به‌روز رسانی امن 2	FPT_TUD_EXT.1.2
